Equipment ID,Inspection Date,PD Average,PD Count,Temperature,Humidity,Loading,Confirm action,Building,Room,Equipment Name,Measurement Position
18551,22/8/2017 12:00:00 AM,77.28,7,32.2,53.7,4,?,-,Mitsui QC19,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18551,10/7/2018 12:00:00 AM,818.98,8,33.7,54.5,23,?,-,Mitsui QC19,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18551,12/3/2019 12:00:00 AM,406.69,9,35.5,48.8,5,?,-,Mitsui QC19,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18552,22/8/2017 12:00:00 AM,602.96,1,32.2,53.7,4,?,-,Mitsui QC19,Panel 2 - Incoming Panel,Top
18553,22/8/2017 12:00:00 AM,460.85,4,32.2,53.7,4,?,-,Mitsui QC19,Panel 2 - Incoming Panel,Bottom
18554,22/8/2017 12:00:00 AM,381.56,3,32.2,53.7,2,?,-,Mitsui QC19,Transformer 1200KVA (S/N: A1T60603T601-1) (11kV/440V),High Voltage side Point A
18554,10/7/2018 12:00:00 AM,339.75,5,33.7,54.5,20,?,-,Mitsui QC19,Transformer 1200KVA (S/N: A1T60603T601-1) (11kV/440V),High Voltage side Point A
18554,12/3/2019 12:00:00 AM,263.64,6,35.5,48.8,3,?,-,Mitsui QC19,Transformer 1200KVA (S/N: A1T60603T601-1) (11kV/440V),High Voltage side Point A
18555,22/8/2017 12:00:00 AM,102.24,7,32.2,53.7,2,?,-,Mitsui QC19,Transformer 1200KVA (S/N: A1T60603T601-1) (11kV/440V),High Voltage side Point B
18555,10/7/2018 12:00:00 AM,711.32,3,33.7,54.5,20,?,-,Mitsui QC19,Transformer 1200KVA (S/N: A1T60603T601-1) (11kV/440V),High Voltage side Point B
18555,12/3/2019 12:00:00 AM,359.07,4,35.5,48.8,3,?,-,Mitsui QC19,Transformer 1200KVA (S/N: A1T60603T601-1) (11kV/440V),High Voltage side Point B
18556,22/8/2017 12:00:00 AM,376.47,1,32.2,53.7,2,?,-,Mitsui QC19,Transformer 1200KVA (S/N: A1T60603T601-1) (11kV/440V),High Voltage side Point C
18556,10/7/2018 12:00:00 AM,533.9,7,33.7,54.5,20,?,-,Mitsui QC19,Transformer 1200KVA (S/N: A1T60603T601-1) (11kV/440V),High Voltage side Point C
18556,12/3/2019 12:00:00 AM,477.25,4,35.5,48.8,3,?,-,Mitsui QC19,Transformer 1200KVA (S/N: A1T60603T601-1) (11kV/440V),High Voltage side Point C
18557,22/8/2017 12:00:00 AM,163.03,3,32.2,53.7,2,?,-,Mitsui QC19,Transformer 150KVA (S/N: A1T60603T602-1) (11kV/415V),High Voltage side Point A
18557,10/7/2018 12:00:00 AM,652.76,2,33.7,54.5,3,?,-,Mitsui QC19,Transformer 150KVA (S/N: A1T60603T602-1) (11kV/415V),High Voltage side Point A
18557,12/3/2019 12:00:00 AM,90.93,7,35.5,48.8,2,?,-,Mitsui QC19,Transformer 150KVA (S/N: A1T60603T602-1) (11kV/415V),High Voltage side Point A
18558,22/8/2017 12:00:00 AM,379.76,1,32.2,53.7,2,?,-,Mitsui QC19,Transformer 150KVA (S/N: A1T60603T602-1) (11kV/415V),High Voltage side Point B
18558,10/7/2018 12:00:00 AM,499.17,1,33.7,54.5,3,?,-,Mitsui QC19,Transformer 150KVA (S/N: A1T60603T602-1) (11kV/415V),High Voltage side Point B
18558,12/3/2019 12:00:00 AM,580.38,8,35.5,48.8,2,?,-,Mitsui QC19,Transformer 150KVA (S/N: A1T60603T602-1) (11kV/415V),High Voltage side Point B
18559,22/8/2017 12:00:00 AM,271.76,2,32.2,53.7,2,?,-,Mitsui QC19,Transformer 150KVA (S/N: A1T60603T602-1) (11kV/415V),High Voltage side Point C
18559,10/7/2018 12:00:00 AM,369.28,1,33.7,54.5,3,?,-,Mitsui QC19,Transformer 150KVA (S/N: A1T60603T602-1) (11kV/415V),High Voltage side Point C
18559,12/3/2019 12:00:00 AM,120.77,2,35.5,48.8,2,?,-,Mitsui QC19,Transformer 150KVA (S/N: A1T60603T602-1) (11kV/415V),High Voltage side Point C
18560,23/8/2017 12:00:00 AM,500.04,2,30.4,66.7,4,?,-,Mitsui QC20,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18560,11/7/2018 12:00:00 AM,516.82,4,29.1,71.6,4,?,-,Mitsui QC20,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18560,12/3/2019 12:00:00 AM,122.85,2,36.1,45.7,4,?,-,Mitsui QC20,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18561,23/8/2017 12:00:00 AM,258.14,3,30.4,66.7,4,?,-,Mitsui QC20,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18561,11/7/2018 12:00:00 AM,489.35,4,29.1,71.6,4,?,-,Mitsui QC20,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18561,12/3/2019 12:00:00 AM,201.96,1,36.1,45.7,4,?,-,Mitsui QC20,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18562,23/8/2017 12:00:00 AM,229.69,1,30.4,66.7,4,?,-,Mitsui QC20,Panel 2 - Incoming Panel,Top
